번호,발생시각,규모,깊이,최대진도,위도,경도,위치
1121,2022-02-28 21:31,2.1,24,Ⅰ,41.25 N,129.28 E,북한 함경북도 길주 북쪽 33km 지역
1120,2022-02-24 12:07,2.2,21,Ⅰ,34.00 N,127.59 E,전남 여수시 거문도 동쪽 25km 해역
1119,2022-02-15 6:52,2.5,29,Ⅰ,41.29 N,129.23 E,북한 함경북도 길주 북북서쪽 38km 지역
1118,2022-02-14 19:47,2.3,18,Ⅰ,41.28 N,129.26 E,북한 함경북도 길주 북쪽 37km 지역
1117,2022-02-14 14:33,2.3,22,Ⅰ,41.27 N,129.24 E,북한 함경북도 길주 북북서쪽 36km 지역
1116,2022-02-11 10:35,3.1,17,Ⅰ,41.30 N,129.21 E,북한 함경북도 길주 북북서쪽 40km 지역
1115,2022-02-10 17:20,2.2,19,Ⅲ,35.29 N,126.59 E,전남 영광군 동북동쪽 7km 지역
1114,2022-02-08 15:57,2.9,16,Ⅰ,35.07 N,125.06 E,전남 신안군 흑산도 북서쪽 55km 해역
1113,2022-02-04 2:47,2.3,16,Ⅰ,37.41 N,129.51 E,강원 삼척시 동쪽 31km 해역
1112,2022-02-02 12:04,2.4,19,Ⅲ,35.72 N,128.99 E,경북 청도군 동북동쪽 24km 지역
1111,2022-01-28 6:46,2.3,9,Ⅱ,34.37 N,127.30 E,전남 고흥군 남쪽 26km 해역
1110,2021-12-30 17:54,2.2,14,Ⅰ,41.30 N,129.17 E,북한 함경북도 길주 북북서쪽 41km 지역
1109,2021-12-30 14:21,2.3,19,Ⅰ,41.31 N,129.21 E,북한 함경북도 길주 북북서쪽 41km 지역
1108,2021-12-17 6:22,3.2,18,Ⅲ,33.12 N,126.18 E,제주 서귀포시 서남서쪽 38km 해역
1107,2021-12-15 22:02,2.3,10,Ⅳ,35.79 N,127.80 E,경남 거창군 북서쪽 15km 지역
1106,2021-12-15 15:06,2.8,14,Ⅱ,33.14 N,126.15 E,제주 서귀포시 서남서쪽 40km 해역
1105,2021-12-14 17:19,4.9,17,Ⅴ,33.09 N,126.16 E,제주 서귀포시 서남서쪽 41km 해역
1104,2021-12-09 10:57,2.6,17,Ⅰ,33.85 N,125.51 E,전남 신안군 흑산도 남쪽 91km 해역
1103,2021-12-04 12:33,2.3,20,Ⅰ,38.02 N,124.52 E,인천 옹진군 백령도 서북서쪽 16km 해역
1102,2021-11-22 5:19,2.1,7,Ⅱ,35.48 N,127.11 E,전북 순창군 북북서쪽 12km 지역
1101,2021-11-19 2:35,2.2,11,Ⅰ,33.85 N,124.77 E,전남 신안군 흑산도 남남서쪽 109km 해역
1100,2021-11-17 1:39,2.9,19,Ⅰ,35.66 N,129.75 E,울산 동구 동북동쪽 35km 해역
1099,2021-11-16 20:53,2.1,8,Ⅰ,34.50 N,125.90 E,전남 진도군 서쪽 33km 해역
1098,2021-11-16 11:57,2.1,18,Ⅰ,35.06 N,125.06 E,전남 신안군 흑산도 북서쪽 54km 해역
1097,2021-11-12 1:31,2.1,8,Ⅱ,36.15 N,129.38 E,경북 포항시 북구 북쪽 12km 지역
